id_card,name,death_date,death_cause
510100000000002846,已故人员000,2025-11-01,意外
510100000000000231,已故人员001,2025-04-08,自然死亡
510100000000004560,已故人员002,2023-08-31,疾病
510100000000002356,已故人员003,2025-10-17,自然死亡
510100000000003139,已故人员004,2024-07-30,疾病
510100000000002702,已故人员005,2026-06-30,意外
510100000000004601,已故人员006,2026-04-14,疾病
510100000000001360,已故人员007,2024-05-23,自然死亡
510100000000002979,已故人员008,2025-10-16,疾病
510100000000000006,已故人员009,2023-09-08,自然死亡
510100000000001873,已故人员010,2026-02-19,疾病
510100000000001589,已故人员011,2025-05-15,疾病
510100000000001237,已故人员012,2025-12-03,意外
510100000000002988,已故人员013,2026-03-10,疾病
510100000000004294,已故人员014,2025-02-11,自然死亡
510100000000002822,已故人员015,2024-04-14,疾病
510100000000004609,已故人员016,2025-05-25,意外
510100000000000409,已故人员017,2026-01-03,疾病
510100000000003954,已故人员018,2025-10-01,意外
510100000000002147,已故人员019,2026-07-29,疾病
510100000000001869,已故人员020,2024-01-06,意外
510100000000003969,已故人员021,2024-12-21,意外
510100000000001940,已故人员022,2025-02-10,疾病
510100000000004014,已故人员023,2024-12-25,疾病
510100000000004926,已故人员024,2024-01-20,自然死亡
510100000000003314,已故人员025,2023-08-31,意外
510100000000003362,已故人员026,2023-09-22,自然死亡
510100000000000793,已故人员027,2025-03-09,疾病
510100000000003737,已故人员028,2024-03-15,意外
510100000000004668,已故人员029,2026-05-03,意外
510100000000000180,已故人员030,2024-08-04,自然死亡
510100000000001181,已故人员031,2023-12-16,意外
510100000000002693,已故人员032,2026-05-05,疾病
510100000000003171,已故人员033,2025-01-31,意外
510100000000001302,已故人员034,2025-10-08,疾病
510100000000001253,已故人员035,2025-03-27,疾病
510100000000004459,已故人员036,2024-09-26,自然死亡
510100000000000847,已故人员037,2025-05-19,意外
510100000000003395,已故人员038,2025-11-02,自然死亡
510100000000001445,已故人员039,2024-08-30,自然死亡
510100000000001462,已故人员040,2025-07-06,意外
510100000000004331,已故人员041,2024-11-25,疾病
510100000000000716,已故人员042,2025-08-23,意外
510100000000000816,已故人员043,2026-03-12,疾病
510100000000003559,已故人员044,2024-02-12,意外
510100000000004214,已故人员045,2025-01-31,疾病
510100000000004650,已故人员046,2023-10-14,自然死亡
510100000000004126,已故人员047,2024-07-28,意外
510100000000003668,已故人员048,2025-03-01,意外
510100000000000982,已故人员049,2024-09-22,自然死亡
510100000000002886,已故人员050,2023-09-12,意外
510100000000004472,已故人员051,2024-04-19,意外
510100000000001637,已故人员052,2025-02-05,自然死亡
510100000000000483,已故人员053,2026-05-21,意外
510100000000000420,已故人员054,2025-03-06,自然死亡
510100000000003143,已故人员055,2023-09-04,自然死亡
510100000000002179,已故人员056,2024-09-14,自然死亡
510100000000003316,已故人员057,2024-07-12,疾病
510100000000000669,已故人员058,2025-12-22,自然死亡
510100000000001870,已故人员059,2024-11-03,意外
510100000000004824,已故人员060,2025-06-22,疾病
510100000000002840,已故人员061,2025-07-14,意外
510100000000002796,已故人员062,2023-10-07,自然死亡
510100000000003345,已故人员063,2025-12-17,意外
510100000000003964,已故人员064,2023-10-11,自然死亡
510100000000002196,已故人员065,2026-08-03,疾病
510100000000003802,已故人员066,2024-12-26,意外
510100000000001494,已故人员067,2023-12-22,意外
510100000000000596,已故人员068,2024-05-15,疾病
510100000000000719,已故人员069,2023-09-05,意外
510100000000003348,已故人员070,2025-12-19,疾病
510100000000000029,已故人员071,2025-12-30,意外
510100000000003911,已故人员072,2023-09-15,自然死亡
510100000000003160,已故人员073,2026-01-06,意外
510100000000003979,已故人员074,2024-02-11,自然死亡
510100000000001308,已故人员075,2025-05-16,意外
510100000000004882,已故人员076,2025-09-08,意外
510100000000000291,已故人员077,2025-09-11,疾病
510100000000003043,已故人员078,2024-03-21,意外
510100000000003020,已故人员079,2024-06-17,自然死亡
510100000000004527,已故人员080,2023-10-22,自然死亡
510100000000003003,已故人员081,2025-01-05,意外
510100000000000452,已故人员082,2024-06-07,自然死亡
510100000000003708,已故人员083,2025-10-28,意外
510100000000002608,已故人员084,2025-01-01,疾病
510100000000000342,已故人员085,2024-04-03,意外
510100000000001216,已故人员086,2025-08-24,自然死亡
510100000000003365,已故人员087,2024-07-13,自然死亡
510100000000002015,已故人员088,2024-03-26,自然死亡
510100000000000570,已故人员089,2025-11-25,自然死亡
510100000000002655,已故人员090,2025-11-15,自然死亡
510100000000002838,已故人员091,2024-08-28,意外
510100000000002132,已故人员092,2024-09-11,疾病
510100000000000915,已故人员093,2024-03-13,自然死亡
510100000000001926,已故人员094,2026-01-14,意外
510100000000003408,已故人员095,2025-05-27,自然死亡
510100000000000195,已故人员096,2026-03-02,自然死亡
510100000000002723,已故人员097,2026-02-23,疾病
510100000000003913,已故人员098,2024-03-26,自然死亡
510100000000003071,已故人员099,2024-07-21,自然死亡
