id,unit_name,employee_name,id_card,base_salary,person_rate,unit_rate,monthly_amount,balance,pay_month
1,交通局,马超,5101201312227588,22190.06,0.05,0.07,2662.81,316874.39,2025-03
2,某高校,胡兵,5101190703064788,14001.41,0.05,0.07,1680.17,166336.83,2025-04
3,某医院,杨帆,5101190409127715,6972.41,0.08,0.07,1045.86,50201.28,2025-02
4,某高校,朱红,5101193707024649,17945.22,0.05,0.08,2332.88,415252.64,2025-01
5,交通局,黄磊,5101190004131258,21394.93,0.05,0.07,2567.39,418484.57,2025-05
6,交通局,陈静,5101197905056978,17577.84,0.08,0.07,2636.68,250484.6,2025-04
7,某国企集团,李娜,5101190806159052,22557.42,0.08,0.08,3609.19,72183.8,2025-02
8,交通局,林雪,5101200704265848,11639.63,0.07,0.08,1745.94,47140.38,2025-03
9,教育局,徐明,5101199104028083,9245.94,0.08,0.08,1479.35,26628.3,2025-01
10,某国企集团,马超,5101198110104320,23858.69,0.07,0.05,2863.04,415140.8,2025-02
11,交通局,赵敏,5101199011241005,14849.7,0.07,0.12,2821.44,454251.84,2025-04
12,卫健委,黄磊,5101198210092219,14164.11,0.05,0.1,2124.62,144474.16,2025-03
13,交通局,孙丽,5101199911106101,18741.9,0.12,0.12,4498.06,454304.06,2025-06
14,某医院,孙丽,5101190708076181,3736.4,0.07,0.05,448.37,66358.76,2025-03
15,某医院,吴鑫,5101191910285981,16857.52,0.07,0.08,2528.63,197233.14,2025-03
16,住建局,陈静,5101201209153476,9271.34,0.12,0.12,2225.12,358244.32,2025-05
17,教育局,刘洋,5101197903257956,14265.34,0.05,0.12,2425.11,293438.31,2025-04
18,某医院,林雪,5101192409087896,19619.87,0.12,0.12,4708.77,414371.76,2025-01
19,某高校,王芳,5101198612197242,10849.41,0.1,0.12,2386.87,274490.05,2025-01
20,卫健委,王芳,5101196707035255,8314.31,0.08,0.08,1330.29,147662.19,2025-05
21,某医院,刘洋,5101198002042521,8375.47,0.08,0.05,1088.81,126301.96,2025-01
22,住建局,林雪,5101194107259219,11455.94,0.12,0.05,1947.51,111008.07,2025-01
23,某医院,徐明,5101198203021480,23735.35,0.12,0.07,4509.72,744103.8,2025-05
24,交通局,刘洋,5101198301234833,17767.43,0.1,0.1,3553.49,195441.95,2025-01
25,某医院,周杰,5101192301063347,15695.45,0.12,0.05,2668.23,96056.28,2025-05
26,卫健委,李娜,5101196805279235,15472.02,0.07,0.07,2166.08,251265.28,2025-03
27,某高校,徐明,5101198412282851,4298.43,0.07,0.08,644.76,81884.52,2025-04
28,交通局,杨帆,5101198808125592,16037.61,0.07,0.12,3047.15,371752.3,2025-06
29,某医院,陈静,5101198611101357,21397.03,0.12,0.05,3637.5,582000.0,2025-03
30,交通局,杨帆,5101190702139545,3028.24,0.12,0.05,514.8,19047.6,2025-02
31,某医院,周杰,5101193902162973,12734.31,0.12,0.07,2419.52,382284.16,2025-05
32,某医院,赵敏,5101195402265623,24715.91,0.05,0.05,2471.59,61789.75,2025-06
33,教育局,吴鑫,5101191703123392,22775.91,0.08,0.1,4099.66,323873.14,2025-06
34,卫健委,吴鑫,5101199307109094,6896.79,0.1,0.08,1241.42,60829.58,2025-05
35,教育局,孙丽,5101200410206804,24648.77,0.05,0.07,2957.85,275080.05,2025-06
36,某医院,孙丽,5101200812099729,4382.2,0.05,0.1,657.33,13803.93,2025-04
37,某医院,徐明,5101193209179563,5271.99,0.1,0.05,790.8,18979.2,2025-05
38,教育局,林雪,5101194007215851,13281.44,0.08,0.1,2390.66,308395.14,2025-03
39,某高校,杨帆,5101195103114279,18595.02,0.1,0.07,3161.15,63223.0,2025-01
40,某国企集团,林雪,5101190303289150,13315.67,0.12,0.05,2263.66,289748.48,2025-04
41,教育局,黄磊,5101191803134361,6381.16,0.12,0.08,1276.23,141661.53,2025-06
42,某国企集团,陈静,5101194308275981,15790.07,0.05,0.12,2684.31,75160.68,2025-05
43,某国企集团,张伟,5101192505252644,4285.08,0.08,0.12,857.02,35137.82,2025-04
44,某医院,孙丽,5101194911233610,18479.8,0.07,0.12,3511.16,516140.52,2025-03
45,某国企集团,马超,5101194909021586,3531.56,0.05,0.1,529.73,46086.51,2025-04
46,住建局,陈静,5101199310152357,20015.0,0.1,0.05,3002.25,261195.75,2025-05
47,某国企集团,王芳,5101191807207824,13420.02,0.1,0.1,2684.0,273768.0,2025-06
48,住建局,陈静,5101199203025777,24273.96,0.08,0.07,3641.09,218465.4,2025-03
49,教育局,徐明,5101198109153011,5224.08,0.12,0.05,888.09,39075.96,2025-01
50,某国企集团,李娜,5101192505027462,7215.25,0.12,0.12,1731.66,273602.28,2025-06
51,教育局,马超,5101197201213659,3662.57,0.07,0.07,512.76,29740.08,2025-05
52,住建局,陈静,5101196003017898,3497.97,0.1,0.12,769.55,41555.7,2025-02
53,教育局,马超,5101200512082291,24646.96,0.12,0.07,4682.92,824193.92,2025-01
54,某国企集团,杨帆,5101193110179339,17528.2,0.12,0.05,2979.79,211565.09,2025-01
55,某国企集团,陈静,5101197012193486,22821.01,0.12,0.1,5020.62,431773.32,2025-02
56,某医院,胡兵,5101191707215670,18978.64,0.12,0.12,4554.87,68323.05,2025-04
57,某国企集团,朱红,5101194911183131,11775.06,0.08,0.07,1766.26,164262.18,2025-03
58,教育局,刘洋,5101194511051841,6830.05,0.07,0.08,1024.51,53274.52,2025-03
59,卫健委,杨帆,5101196308144171,10624.61,0.08,0.08,1699.94,22099.22,2025-02
60,教育局,陈静,5101199805232797,10506.88,0.07,0.05,1260.83,86997.27,2025-01
61,教育局,吴鑫,5101191610054462,13598.88,0.07,0.05,1631.87,153395.78,2025-03
62,某医院,黄磊,5101192908025125,4376.99,0.08,0.05,569.01,25605.45,2025-05
63,交通局,杨帆,5101196809026052,9961.47,0.07,0.1,1693.45,149023.6,2025-05
64,卫健委,杨帆,5101197610149149,5581.57,0.08,0.07,837.24,133958.4,2025-02
65,交通局,王芳,5101193707243999,7780.41,0.08,0.1,1400.47,120440.42,2025-01
66,教育局,杨帆,5101192006129874,6833.02,0.07,0.05,819.96,34438.32,2025-01
67,住建局,陈静,5101201103133378,17541.34,0.05,0.12,2982.03,432394.35,2025-05
68,某医院,赵敏,5101199404064925,7370.38,0.05,0.08,958.15,166718.1,2025-05
69,卫健委,李娜,5101190909219287,15534.52,0.12,0.08,3106.9,130489.8,2025-02
70,卫健委,刘洋,5101190401158944,16464.1,0.1,0.05,2469.61,106193.23,2025-01
71,教育局,胡兵,5101192909219198,8276.45,0.07,0.08,1241.47,88144.37,2025-04
72,某医院,徐明,5101198403247567,22437.05,0.05,0.07,2692.45,40386.75,2025-03
73,教育局,李娜,5101199603049681,10490.33,0.1,0.12,2307.87,78467.58,2025-01
74,某国企集团,张伟,5101195404041853,7250.72,0.05,0.08,942.59,131962.6,2025-04
75,交通局,周杰,5101196606097372,12228.9,0.08,0.12,2445.78,418228.38,2025-06
76,卫健委,周杰,5101196409196802,5241.35,0.05,0.08,681.38,51103.5,2025-03
77,教育局,王芳,5101196609144722,21556.03,0.05,0.1,3233.4,129336.0,2025-05
78,某医院,赵敏,5101191906077849,21180.08,0.12,0.08,4236.02,745539.52,2025-04
79,某高校,吴鑫,5101191311273436,21639.28,0.08,0.12,4327.86,644851.14,2025-04
80,卫健委,孙丽,5101193009116224,19684.64,0.08,0.12,3936.93,574791.78,2025-05
81,某国企集团,周杰,5101190612213689,8667.32,0.07,0.08,1300.1,224917.3,2025-01
82,教育局,黄磊,5101191007101782,12436.7,0.08,0.07,1865.51,162299.37,2025-05
83,交通局,周杰,5101193604195382,5192.91,0.08,0.08,830.87,110505.71,2025-03
