id,card_no,holder_name,dept_name,trans_date,amount,merchant,category,purpose
1,6282828453780146,杨帆,科技局,2025-06-18,6596.68,某汽车维修厂,培训费,宣传费
2,6282402396951382,马超,民政局,2025-01-06,12792.87,某加油站,车辆加油,公务接待
3,6282645077544964,吴鑫,卫健委,2025-05-03,6439.62,某印刷厂,培训费,培训费
4,6282790016008604,胡兵,农业农村局,2025-03-09,393.38,某印刷厂,印刷费,会议费
5,6282132359220444,黄磊,人社局,2025-05-02,14542.55,某酒店,车辆加油,宣传费
6,6282460363678581,陈静,住建局,2025-02-11,9698.42,某旅行社,车辆加油,印刷费
7,6282353963309153,陈静,农业农村局,2025-04-10,12079.08,某办公用品店,公务接待,车辆维修
8,6282590781972556,张伟,交通局,2025-05-15,401.87,某餐饮公司,公务接待,车辆加油
9,6282932877472480,张伟,住建局,2025-02-10,1433.83,某印刷厂,差旅住宿,培训费
10,6282979206622067,黄磊,卫健委,2025-01-20,5624.44,某旅行社,车辆维修,培训费
11,6282750033969627,孙丽,民政局,2025-06-04,5651.64,某汽车维修厂,印刷费,会议费
12,6282854867992437,陈静,住建局,2025-04-21,11232.71,某加油站,培训费,印刷费
13,6282446636423837,林雪,民政局,2025-01-26,7854.4,某汽车维修厂,差旅住宿,车辆维修
14,6282259678698274,陈静,交通局,2025-03-02,3205.04,某旅行社,印刷费,培训费
15,6282121019450589,李娜,卫健委,2025-04-08,267.81,某会议中心,公务接待,办公用品
16,6282372616003669,吴鑫,人社局,2025-05-22,7049.12,某印刷厂,培训费,印刷费
17,6282583805587471,林雪,卫健委,2025-04-06,9275.72,某办公用品店,差旅住宿,印刷费
18,6282416018827872,马超,住建局,2025-05-27,7608.62,某印刷厂,办公用品,车辆维修
19,6282836836870594,刘洋,人社局,2025-05-27,2634.71,某印刷厂,印刷费,车辆加油
20,6282694022057149,吴鑫,科技局,2025-01-28,2723.87,某广告公司,印刷费,印刷费
