id,id_card,name,gender,birth_date,pension_type,monthly_amount,pay_status,pay_month,bank_account
1,5101195209112213,李娜,女,1958-03-12,机关事业单位养老保险,3877.82,已发放,2025-03,6222666814596623
2,5101191103029020,陈静,女,1978-08-23,城镇职工养老保险,1976.8,暂停,2025-02,6222798853863782
3,5101192611021268,孙丽,女,1995-06-22,城乡居民养老保险,3719.54,已发放,2025-01,6222182832181008
4,5101190003199468,徐明,男,1993-01-09,机关事业单位养老保险,2187.54,已发放,2025-02,6222930124793777
5,5101190701109506,胡兵,男,1952-03-20,机关事业单位养老保险,2974.3,已发放,2025-03,6222717201027159
6,5101200606154870,徐明,男,1983-12-03,城乡居民养老保险,6524.86,已发放,2025-02,6222226343529850
7,5101190206103701,王芳,男,1946-05-14,城镇职工养老保险,6719.67,已发放,2025-01,6222118255152783
8,5101194310137155,张伟,男,1952-07-21,城镇职工养老保险,1324.81,暂停,2025-02,6222460963384031
9,5101199805138150,胡兵,男,1962-03-26,城镇职工养老保险,7165.8,已发放,2025-06,6222228405187749
10,5101191103146052,朱红,女,1980-03-12,城乡居民养老保险,2354.87,已发放,2025-02,6222873342253701
11,5101201804046702,朱红,男,1946-10-13,机关事业单位养老保险,2389.52,未发放,2025-02,6222720798020278
12,5101201312157961,朱红,男,1987-10-11,城乡居民养老保险,1158.06,已发放,2025-03,6222328194265362
13,5101193606012948,杨帆,男,1957-05-12,城镇职工养老保险,6670.69,已发放,2025-05,6222219881988558
14,5101197306034090,周杰,女,1987-02-16,机关事业单位养老保险,3458.15,已发放,2025-05,6222687213516938
15,5101200707031317,刘洋,女,1969-05-15,机关事业单位养老保险,3788.76,已发放,2025-04,6222127890246852
16,5101200901157061,陈静,女,1968-11-23,城乡居民养老保险,1633.87,已发放,2025-02,6222959234301742
17,5101191512143205,吴鑫,女,1956-01-04,城乡居民养老保险,5755.91,已发放,2025-06,6222764477359146
18,5101192403183326,张伟,男,1968-08-13,城镇职工养老保险,4875.66,已发放,2025-02,6222606303606134
19,5101194103165437,赵敏,女,1993-01-20,城乡居民养老保险,2759.62,已发放,2025-06,6222672543588694
20,5101193111013778,胡兵,男,1990-12-16,城乡居民养老保险,6074.38,已发放,2025-06,6222785621125488
21,5101191905018843,杨帆,女,1964-03-10,城镇职工养老保险,2768.02,已发放,2025-01,6222588650209186
22,5101192810242987,赵敏,男,1965-08-21,机关事业单位养老保险,2930.1,已发放,2025-02,6222703427260676
23,5101193103073893,陈静,女,1981-03-08,机关事业单位养老保险,2165.34,已发放,2025-06,6222504121001400
24,5101199811074685,陈静,女,1991-06-14,城镇职工养老保险,6718.18,已发放,2025-06,6222609527002545
25,5101190402104895,周杰,男,1959-02-22,城镇职工养老保险,3116.63,已发放,2025-01,6222324235173048
